employee_id,employee_name,business_unit,join_date,status,region,cost_to_company
EMP1046,Deborah Norris,Enterprise,23-09-2021,Active,North,735302
EMP1047,Erica Johnson,Enterprise,16-05-2019,Active,North,702747
EMP1048,Jennifer Greer,Online,24-11-2023,Active,South,974431
EMP1049,Amy Berg,Retail,24-08-2019,Active,North,527023
EMP1050,Ryan Bell,Retail,19-01-2019,Active,West,1236136
EMP1051,Gina Rodriguez,Online,04-09-2019,Active,North,608587
EMP1052,Paul Foster,Retail,26-08-2022,Active,West,1042112
EMP1053,Christopher Reese PhD,Retail,16-05-2020,Active,South,1285397
EMP1054,Shannon Cohen,Enterprise,21-08-2019,Active,East,1318371
EMP1055,David Garcia,Online,09-12-2019,Active,West,441568
EMP1056,Dana Rice,Online,04-04-2022,Active,South,740754
EMP1057,Kimberly Cooper,Online,13-04-2022,Active,South,549413
EMP1058,Jennifer Smith,Retail,05-08-2023,Active,South,1676047
EMP1059,Matthew Mathews,Enterprise,10-10-2020,Active,East,924672
EMP1060,Jason Miller,Online,11-01-2022,Active,East,1775817
EMP1061,Leslie Mendoza,Retail,04-01-2021,Active,South,1609034
EMP1062,Thomas Foster,Retail,10-03-2022,Active,West,925806
EMP1063,Charles Rice,Enterprise,25-03-2023,Active,West,1597807
EMP1064,Rebecca Stein,Enterprise,22-10-2019,Active,West,1149833
EMP1065,Joshua Fernandez,Enterprise,19-10-2022,Active,East,1577162
EMP1066,Mr. James Rogers,Retail,12-01-2019,Active,East,1527114
EMP1067,Jacob Gross,Enterprise,01-11-2019,Active,North,447456
EMP1068,Jennifer Chapman,Online,15-02-2019,Active,West,1374456
EMP1069,Michelle Bradley,Retail,06-11-2023,Active,North,1340895
EMP1070,Jared Chang,Retail,27-12-2020,Active,North,1397376
EMP1071,Emily Williams,Online,13-01-2021,Active,South,560084
EMP1072,Kristin Wells,Retail,05-07-2021,Active,North,1536866
EMP1073,Isaiah Morris,Online,17-08-2020,Active,South,1527239
EMP1074,Mark Rodriguez,Retail,14-04-2019,Active,East,1680297
EMP1075,Rachel Diaz,Retail,01-01-2022,Active,North,1483295
EMP1076,Michael Brown,Enterprise,01-10-2019,Active,South,696054
EMP1077,Wesley Mason,Online,17-10-2022,Active,West,1746156
EMP1078,Thomas Brown,Retail,30-01-2020,Active,South,1439001
EMP1079,Amy Martinez MD,Retail,12-03-2019,Active,North,762526
EMP1080,Jennifer Jackson,Online,20-03-2019,Active,South,681709
EMP1081,Carol Anderson,Online,29-05-2022,Active,South,562421
EMP1082,Kimberly Le,Enterprise,25-09-2020,Active,North,645649
EMP1083,Michael Rosario,Retail,25-02-2021,Active,North,527304
EMP1084,Raymond Harrington,Retail,22-07-2022,Active,West,1325321
EMP1085,Stacey Schultz,Retail,01-05-2023,Active,South,624337
EMP1086,Joshua Perez,Retail,02-02-2022,Active,North,1742996
EMP1087,Kristina Walters,Online,02-09-2022,Active,East,745594
EMP1088,Jeffrey Anderson,Online,08-02-2021,Active,East,1064026
EMP1089,Alexander Pena,Retail,26-04-2021,Active,South,1313720
EMP1090,Mr. Jack Kirby,Retail,05-07-2022,Active,West,1379915
EMP1091,Phillip Briggs,Online,14-08-2020,Active,East,1778858
EMP1092,Craig Shepard,Enterprise,07-08-2022,Active,North,1122301
EMP1093,Sarah Lopez,Retail,09-06-2020,Active,East,1503484
EMP1094,Jesse Jones,Enterprise,16-03-2022,Active,North,1679073
EMP1095,Kenneth Calhoun,Enterprise,15-11-2022,Active,West,1031236
EMP1096,Chad Russo,Enterprise,01-03-2019,Active,North,1023817
EMP1097,Brenda Davis,Retail,11-05-2019,Active,East,695456
EMP1098,Ronnie Wang,Retail,19-12-2019,Active,North,1188273
EMP1099,Courtney Miller,Online,25-07-2023,Active,East,787907
EMP1100,Lawrence Bishop,Retail,01-09-2021,Active,North,1118619
EMP1101,Judy Olson,Enterprise,20-06-2021,Active,West,1235393
EMP1102,Kim Sparks,Online,04-06-2019,Active,North,951053
EMP1103,Christina Johnson,Online,16-01-2023,Active,East,1233874
EMP1104,Tina Garcia,Retail,13-02-2020,Active,North,1012205
EMP1105,Megan Dominguez,Retail,22-08-2023,Active,East,907720
EMP1106,Annette Ramsey,Retail,28-02-2019,Active,South,766481
EMP1107,Teresa Mosley,Retail,11-06-2021,Active,North,653465
EMP1108,Ronald Lindsey,Enterprise,16-02-2020,Active,East,1385631
EMP1109,Louis Russell,Retail,18-11-2021,Active,East,573124
EMP1110,Jerome Smith,Online,18-02-2019,Active,West,1079075
EMP1111,Jessica Harris,Retail,10-05-2022,Active,West,1260098
EMP1112,Krista Payne,Enterprise,24-07-2019,Active,West,1639909
EMP1113,Keith Patel,Online,23-04-2022,Active,North,1148924
EMP1114,Timothy Weeks,Enterprise,14-09-2023,Active,North,1453457
EMP1115,Kayla Gonzalez,Online,06-11-2019,Active,North,1312624
EMP1116,Charles Maddox,Online,14-12-2021,Active,North,1665485
EMP1117,Jeremiah Crawford,Enterprise,03-12-2019,Active,North,1448471
EMP1118,Brett Palmer,Online,30-04-2019,Active,South,1211470
EMP1119,Julie Li,Retail,08-05-2020,Active,East,639849
EMP1120,Bobby Garrett,Retail,03-07-2020,Active,East,1135395
EMP1121,Luke Friedman,Enterprise,23-05-2021,Active,South,599482
EMP1122,Nicole Henry,Enterprise,08-02-2021,Active,West,1102785
EMP1123,Dr. Michael Joseph,Retail,24-12-2021,Active,West,540437
EMP1124,Mr. Joseph Peck,Online,27-02-2021,Active,West,646158
EMP1125,Lisa Craig,Retail,05-02-2019,Active,West,1423105
EMP1126,David Peterson,Enterprise,19-10-2023,Active,East,699645
EMP1127,Monica Mosley,Online,24-11-2023,Active,North,435969
EMP1128,Stacey Hale,Online,19-07-2020,Active,West,1743173
EMP1129,Kathleen Kim,Enterprise,19-08-2020,Active,West,946653
EMP1130,Ashley Lewis,Retail,18-06-2021,Active,South,1222253
EMP1131,William Johnson,Enterprise,15-06-2021,Active,North,1598715
EMP1132,Daniel Schwartz,Enterprise,25-01-2023,Active,West,1540224
EMP1133,Caitlin Mcbride,Online,10-02-2019,Active,East,1395582
EMP1134,Jesus Forbes,Retail,11-09-2021,Active,East,720251
EMP1135,Terry Lewis,Online,10-05-2021,Active,East,768260
EMP1136,Marcia Hendricks,Online,29-07-2023,Active,South,1461619
EMP1137,Timothy Barnett,Online,20-03-2020,Active,South,554326
EMP1138,Tony Lang,Retail,24-03-2022,Active,North,1383456
EMP1139,Jennifer Zamora,Enterprise,29-12-2020,Active,East,1320603
EMP1140,William Richmond,Enterprise,04-05-2023,Active,North,1167782
EMP1141,Anne Nguyen,Online,14-02-2023,Active,South,600282
EMP1142,Jennifer Clark,Online,19-08-2019,Active,North,1496986
EMP1143,Lisa Dunlap,Online,04-11-2022,Active,East,585113
EMP1144,Shawn Crawford,Enterprise,02-01-2021,Active,East,1595064
EMP1145,Corey Price,Enterprise,13-01-2021,Active,South,1361917
EMP1146,Laura Harrell,Retail,11-02-2021,Active,East,954100
EMP1147,Michele Lee,Enterprise,19-03-2020,Active,West,538064
EMP1148,Mrs. Jennifer Maxwell,Retail,10-12-2021,Active,East,1427639
EMP1149,Leslie Cook,Enterprise,14-03-2022,Active,East,1251446
EMP1150,Felicia Smith,Online,17-05-2023,Active,South,1181563
EMP1151,Valerie Jones,Online,20-03-2019,Active,South,493644
EMP1152,Michael Tran,Retail,19-11-2022,Active,West,475117
EMP1153,Julia Moody,Online,20-12-2020,Active,North,504644
EMP1154,Joshua Sanchez,Online,22-12-2019,Active,South,1642164
EMP1155,Joseph Neal,Enterprise,15-01-2020,Active,West,1260152
EMP1156,Christopher Cruz,Online,27-06-2019,Active,North,1366187
EMP1157,Willie Sheppard,Enterprise,10-09-2019,Active,North,562612
EMP1158,Kimberly Park,Enterprise,10-10-2022,Active,West,458215
EMP1159,Dana Turner,Online,25-10-2022,Active,South,1299012
EMP1160,Garrett Robinson,Enterprise,01-06-2019,Active,South,1494471
EMP1161,Fernando Bates,Online,08-02-2021,Active,North,1475712
EMP1162,Donna Zuniga,Retail,01-11-2020,Active,East,1264446
EMP1163,Shannon Bennett,Online,10-03-2022,Active,West,1758792
EMP1164,Stephen Villegas,Online,06-12-2023,Active,West,782415
EMP1165,Jenna Chan,Online,22-07-2023,Active,North,584729
EMP1166,Charles Maxwell,Retail,14-10-2022,Active,North,870321
EMP1167,Meghan Hanson,Online,31-12-2022,Active,North,515631
EMP1168,Lindsey Schmidt,Enterprise,21-06-2019,Active,East,1596664
EMP1169,Stephen Allison,Online,13-05-2020,Active,East,1362270
EMP1170,Kristie Thomas,Online,01-11-2020,Active,East,1604016
EMP1171,Jeremy Harmon,Retail,12-10-2023,Active,South,1065238
EMP1172,Benjamin Christensen,Enterprise,01-06-2019,Active,West,1347691
EMP1173,Alicia Hudson,Enterprise,21-02-2021,Active,West,1692526
EMP1174,Kimberly Morrow,Enterprise,18-05-2020,Active,South,1367870
EMP1175,Andrew Hines,Online,21-01-2021,Active,East,1563132
EMP1176,Andrew Perez,Retail,18-08-2021,Active,South,679362
EMP1177,Robert Poole,Retail,01-11-2022,Active,East,911658
EMP1178,Cynthia Anderson,Retail,07-10-2021,Active,North,719059
EMP1179,Brian Clark,Online,20-11-2020,Active,North,1739335
EMP1180,Richard Clark,Enterprise,14-08-2020,Active,North,1349185
EMP1181,Troy Church,Retail,17-05-2023,Active,North,1669434
EMP1182,Daniel Lucero,Online,25-10-2022,Active,West,472059
EMP1183,Daniel Ortega,Retail,19-02-2020,Active,North,1543548
EMP1184,Wendy Merritt,Online,19-01-2020,Active,South,915321
EMP1185,Jerry Nelson,Online,17-11-2023,Active,West,1102567
EMP1186,Robert Hernandez,Retail,01-01-2020,Inactive,West,651136
EMP1187,Gregory Mack,Retail,09-07-2020,Inactive,West,1186647
EMP1188,Michelle Graham,Online,05-11-2021,Inactive,East,1374552
EMP1189,Edgar Thornton,Online,08-06-2021,Inactive,West,1639504
EMP1190,Tina Velazquez,Online,19-08-2021,Inactive,East,1438632
EMP1191,Courtney Reed,Online,10-12-2019,Inactive,East,1109960
EMP1192,Joshua Jones,Online,12-06-2020,Inactive,East,1542785
EMP1193,Amanda Barr,Online,02-06-2022,Inactive,North,857005
EMP1194,Jacqueline Smith,Retail,20-08-2021,Inactive,East,678484
EMP1195,Jill Murphy,Retail,30-11-2019,Inactive,East,1086384
EMP1196,Charles Russell,Retail,07-06-2019,Inactive,West,686897
EMP1197,Kim Simmons,Enterprise,29-10-2019,Inactive,West,1464583
EMP1198,Elizabeth Smith,Online,10-02-2019,Inactive,North,1272320
EMP1199,Mr. Alec Nelson,Enterprise,04-09-2022,Inactive,South,728593
